,Date,LST Mean Urban (East Malta),LST Mean Rural (West Malta)
0,04/03/2019,20.01794434,19.88018799
1,16/03/2019,16.00177002,16.13250732
2,17/03/2019,22.95755005,21.890625
3,24/03/2019,23.32913208,22.43804932
4,20/04/2019,21.35638428,20.97640991
5,24/04/2019,22.58209229,21.68273926
6,27/04/2019,29.52481079,28.81808472
7,28/04/2019,29.27819824,27.09747314
8,01/05/2019,29.33062744,28.0713501
9,02/05/2019,26.21640015,24.18389893
10,05/05/2019,25.75891113,25.61419678
11,10/05/2019,28.94671631,25.14129639
12,17/05/2019,31.14251709,29.5088501
13,28/05/2019,28.13287354,29.5546875
14,04/06/2019,37.21047974,35.74539185
15,05/06/2019,40.0027771,38.60928345
16,09/06/2019,45.21438599,44.62548828
17,16/06/2019,43.11312866,41.90988159
18,25/06/2019,38.75491333,37.41860962
19,02/07/2019,43.44522095,42.88153076
20,13/07/2019,43.09191895,41.23651123
21,17/07/2019,42.02072144,41.19137573
22,26/07/2019,42.13742065,41.2694397
23,02/08/2019,44.77563477,43.24606323
24,10/08/2019,42.58312988,41.57415771
25,18/08/2019,41.17391968,38.68579102
26,22/08/2019,40.82543945,39.41897583
27,13/03/2020,24.58270264,23.26116943
28,20/03/2020,22.17114258,21.49053955
29,23/03/2020,17.93438721,17.82019043
30,24/03/2020,19.05935669,20.79754639
31,31/03/2020,21.56741333,20.61575317
32,04/04/2020,15.27474976,17.16558838
33,09/04/2020,24.84622192,23.40823364
34,13/04/2020,28.45211792,27.29650879
35,18/04/2020,30.01766968,29.72323608
36,28/04/2020,35.31774902,34.02651978
37,05/05/2020,34.22714233,32.77297974
38,12/05/2020,38.73947144,37.24206543
39,16/05/2020,35.2512207,34.87948608
40,24/05/2020,39.45861816,37.41577148
41,04/06/2020,36.13983154,35.41760254
42,14/06/2020,38.10351563,37.24661255
43,20/06/2020,40.35043335,39.30184937
44,28/06/2020,39.74057007,38.61566162
45,07/07/2020,39.12576294,35.90026855
46,14/07/2020,40.13723755,40.12814331
47,21/07/2020,38.58633423,37.3404541
48,26/07/2020,43.72210693,41.98114014
49,03/08/2020,40.77926636,39.29556274
50,13/08/2020,42.95227051,41.73617554
51,21/08/2020,41.66226196,40.3553772
52,28/08/2020,43.50793457,42.415802
53,30/08/2020,36.76751709,36.83255005
54,06/03/2021,18.28414917,18.33810425
55,12/03/2021,20.16162109,19.45993042
56,25/03/2021,21.9642334,21.69723511
57,28/03/2021,25.68200684,25.81988525
58,31/03/2021,27.38659668,27.08233643
59,14/04/2021,28.73434448,28.4543457
60,25/04/2021,32.39172363,31.3125
61,04/05/2021,31.92077637,31.06243896
62,11/05/2021,32.59313965,32.14712524
63,21/05/2021,34.86520386,32.06442261
64,25/05/2021,37.18023682,36.23876953
65,30/05/2021,40.83126831,39.27957153
66,04/06/2021,35.61795044,34.44064331
67,11/06/2021,42.48059082,41.28411865
68,04/07/2021,44.55859375,43.56610107
69,19/07/2021,40.61080933,39.14520264
70,28/07/2021,41.42059326,40.6305542
71,07/08/2021,41.88546753,40.88775635
72,14/08/2021,46.42776489,45.33828735
73,21/08/2021,34.10809326,35.78491211
,,,
,,,
,,,
,,,
