,Date,LST Max Urban (East Malta),LST Max Rural (West Malta)
0,04/03/2019,22.33599854,21.20001221
1,16/03/2019,20.51400757,20.51400757
2,17/03/2019,25.93200684,25.93200684
3,24/03/2019,26.77999878,24.89001465
4,20/04/2019,24.32199097,23.93600464
5,24/04/2019,24.89001465,24.04000854
6,27/04/2019,32.46798706,32.46798706
7,28/04/2019,32.93200684,31.38598633
8,01/05/2019,32.56399536,31.14801025
9,02/05/2019,30.75601196,28.54400635
10,05/05/2019,29.60800171,29.57199097
11,10/05/2019,32.79400635,32.07800293
12,17/05/2019,35.09399414,33.6000061
13,28/05/2019,34.43200684,34.84399414
14,04/06/2019,40.48599243,39.61999512
15,05/06/2019,43.25,43.25
16,09/06/2019,50.22601318,50.22601318
17,16/06/2019,47.68200684,47.68200684
18,25/06/2019,41.60400391,41.20800781
19,02/07/2019,48.79199219,48.79199219
20,13/07/2019,47.17800903,45.85198975
21,17/07/2019,45.79598999,45.79598999
22,26/07/2019,46.43399048,46.43399048
23,02/08/2019,48.16000366,48.11401367
24,10/08/2019,45.0880127,45.0880127
25,18/08/2019,43.98199463,43.98199463
26,22/08/2019,44.17199707,44.17199707
27,13/03/2020,26.60800171,25.63000488
28,20/03/2020,25.44799805,25.44799805
29,23/03/2020,23,23
30,24/03/2020,25.31399536,25.60400391
31,31/03/2020,24.29199219,22.48400879
32,04/04/2020,20.53201294,20.6960144
33,09/04/2020,29.84399414,29.84399414
34,13/04/2020,30.97799683,30.62600708
35,18/04/2020,34.5,33.01998901
36,28/04/2020,37.76998901,37.61199951
37,05/05/2020,38.18399048,38.18399048
38,12/05/2020,42.65600586,41.06399536
39,16/05/2020,38.29998779,38.31399536
40,24/05/2020,44.57000732,42.23400879
41,04/06/2020,39.04800415,38.83200073
42,14/06/2020,41.9119873,41.9119873
43,20/06/2020,43.67199707,43.30599976
44,28/06/2020,41.67800903,41.67800903
45,07/07/2020,42.60400391,40.45999146
46,14/07/2020,44.48001099,44.61401367
47,21/07/2020,45.74398804,44.14801025
48,26/07/2020,46.97799683,46.97799683
49,03/08/2020,44.45001221,42.97601318
50,13/08/2020,47.00201416,47.00201416
51,21/08/2020,44.86001587,43.53799438
52,28/08/2020,47.27999878,46.88000488
53,30/08/2020,40.18600464,40.18600464
54,06/03/2021,21.96798706,21.7460022
55,12/03/2021,23.96398926,23.21798706
56,25/03/2021,24.1499939,24.5880127
57,28/03/2021,27.73199463,28.9460144
58,31/03/2021,30.02999878,30.13198853
59,14/04/2021,31.88000488,31.35598755
60,25/04/2021,35.73199463,35.73199463
61,04/05/2021,34.46398926,34.46398926
62,11/05/2021,35.04800415,34.49398804
63,21/05/2021,39.56600952,37.52200317
64,25/05/2021,41.06399536,41.06399536
65,30/05/2021,47.01599121,45.04199219
66,04/06/2021,38.11999512,38.11999512
67,11/06/2021,46.30599976,46.30599976
68,04/07/2021,47.4960022,47.4960022
69,19/07/2021,45.62600708,43.78201294
70,28/07/2021,45.63400269,45.63400269
71,07/08/2021,44.08401489,44.01199341
72,14/08/2021,50.51998901,50.11801147
73,21/08/2021,42.33599854,42.76998901
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
