Date,Date,Temperature (°C) AVG,Humidity (%) AVG,Wind Speed (km/h) AVG
04/03/2019,04/03/2019,13.4,78.7,7.3
16/03/2019,16/03/2019,14.1,82.1,16.3
17/03/2019,17/03/2019,15,77.8,15.2
24/03/2019,24/03/2019,14.8,77.1,9.5
20/04/2019,20/04/2019,15.6,80.3,27.7
24/04/2019,24/04/2019,17.1,88.3,19.9
27/04/2019,27/04/2019,18.1,76.2,17.1
28/04/2019,28/04/2019,16.8,71.1,17.9
01/05/2019,01/05/2019,16,70.7,12.9
02/05/2019,02/05/2019,16,72.3,9.8
05/05/2019,05/05/2019,16.7,70.2,30.5
10/05/2019,10/05/2019,16.5,63.5,8
17/05/2019,17/05/2019,16.4,75.6,14.6
28/05/2019,28/05/2019,20.3,65.3,18.3
04/06/2019,04/06/2019,22.1,60.6,19
05/06/2019,05/06/2019,22.3,62.5,16.4
09/06/2019,09/06/2019,29.4,29.3,9.5
16/06/2019,16/06/2019,28.3,47.7,8.9
25/06/2019,25/06/2019,27,68.4,11.8
02/07/2019,02/07/2019,26.5,62,9.2
13/07/2019,13/07/2019,27.5,66.1,21.2
17/07/2019,17/07/2019,25.5,58.4,13.3
26/07/2019,26/07/2019,27.9,63.9,8.9
02/08/2019,02/08/2019,28.6,54.1,11.1
10/08/2019,10/08/2019,28.4,77.3,15.5
18/08/2019,18/08/2019,26.7,69,10.3
22/08/2019,22/08/2019,27.1,67.6,9
13/03/2020,13/03/2020,15.9,78.1,17.9
20/03/2020,20/03/2020,14.3,70.7,24.4
23/03/2020,23/03/2020,14.4,87.6,12.7
24/03/2020,24/03/2020,14,84.9,22.3
31/03/2020,31/03/2020,14,79.6,13.2
04/04/2020,04/04/2020,13.6,84.7,22.4
09/04/2020,09/04/2020,14.5,78.9,11.8
13/04/2020,13/04/2020,15,81.6,16.1
18/04/2020,18/04/2020,17.2,84.7,7.2
28/04/2020,28/04/2020,19.7,71.2,9.8
05/05/2020,05/05/2020,19,85.5,12.3
12/05/2020,12/05/2020,22.6,52.6,13.2
16/05/2020,16/05/2020,24.3,63.6,21.9
24/05/2020,24/05/2020,21.5,56.3,11.7
04/06/2020,04/06/2020,21.4,79.1,22
14/06/2020,14/06/2020,24.9,54.9,11.5
20/06/2020,20/06/2020,25,3.2,27.2
28/06/2020,28/06/2020,24.8,72.8,9.8
07/07/2020,07/07/2020,24.8,73.8,22.8
14/07/2020,14/07/2020,26,77,8.2
21/07/2020,21/07/2020,25.1,74.7,7.9
26/07/2020,26/07/2020,27.5,70.4,12.5
03/08/2020,03/08/2020,29,72,9.3
13/08/2020,13/08/2020,28.5,57.7,9.4
21/08/2020,21/08/2020,27.9,68.7,5.9
28/08/2020,28/08/2020,27.6,71.6,7.8
30/08/2020,30/08/2020,27.7,82.9,17.3
06/03/2021,06/03/2021,14.6,88.9,13.9
12/03/2021,12/03/2021,12.6,73.1,13.3
25/03/2021,25/03/2021,12.4,65.8,15.1
28/03/2021,28/03/2021,15.4,87,13.4
31/03/2021,31/03/2021,15,70.1,9.8
14/04/2021,14/04/2021,14.5,65.3,15.1
25/04/2021,25/04/2021,16.2,75.8,14.8
04/05/2021,04/05/2021,18.8,69.2,13.6
11/05/2021,11/05/2021,19.6,78.5,20.2
13/05/2021,21/05/2021,18.4,68.6,19.3
21/05/2021,25/05/2021,19.5,65.1,14.1
25/05/2021,30/05/2021,21.8,70.2,10.2
30/05/2021,04/06/2021,22.4,60.2,12.3
04/06/2021,11/06/2021,22.1,68.6,11.2
11/06/2021,04/07/2021,23.2,65.8,9.1
04/07/2021,19/07/2021,28.8,59.5,10.9
19/07/2021,28/07/2021,25.4,71.4,17.1
28/07/2021,07/08/2021,29.7,38.6,10.1
07/08/2021,14/08/2021,28.8,64,16.6
14/08/2021,21/08/2021,29.5,67.5,8.5
21/08/2021,,27.1,73.6,8.3
